Test Problem;Optimizer;MIGD_total;MIGD_1st_stage;MIGD_2nd_stage;MIGD_3rd_stage;;;;;;;;
FDA1;FPS;0.0525(0.01235);0.2137(0.06394);0.0147(0.00159);0.0136(0.00075);;;;;;;;
FDA1;PPS;0.0592(0.01680);0.2743(0.08625);0.0100(0.00117);0.0063(0.00011);;;;;;;;
FDA1;CKPS;0.0297(0.00636);0.1168(0.03308);0.0090(0.00013);0.0089(0.00020);;;;;;;;
FDA1;SPPS;0.0264(0.00630);0.1032(0.03278);0.0082(0.00021);0.0081(0.00022);;;;;;;;
FDA1;HPPCM;0.0211(0.00518);0.0813(0.02744);0.0068(0.00076);0.0067(0.00069);;;;;;;;
FDA1;DSSP;0.0240(0.00843);0.0944(0.04377);0.0072(0.00085);0.0072(0.00092);;;;;;;;
FDA1;DVC;0.0178(0.00413);0.0681(0.02205);0.0066(0.00029);0.0070(0.00046);;;;;;;;
FDA2;FPS;0.0086(0.00069);0.0201(0.00298);0.0060(0.00058);0.0056(0.00011);;;;;;;;
FDA2;PPS;0.0093(0.00120);0.0219(0.00539);0.0067(0.00058);0.0059(0.00012);;;;;;;;
FDA2;CKPS;0.0085(0.00056);0.0183(0.00276);0.0065(0.00021);0.0060(0.00010);;;;;;;;
FDA2;SPPS;0.0087(0.00044);0.0170(0.00248);0.0067(0.00025);0.0068(0.00026);;;;;;;;
FDA2;HPPCM;0.0079(0.00087);0.0172(0.00419);0.0058(0.00028);0.0056(0.00004);;;;;;;;
FDA2;DSSP;0.0080(0.00081);0.0167(0.00345);0.0061(0.00098);0.0058(0.00065);;;;;;;;
FDA2;DVC;0.0074(0.00076);0.0160(0.00377);0.0057(0.00008);0.0052(0.00003);;;;;;;;
FDA3;FPS;0.0638(0.00966);0.1971(0.04958);0.0344(0.00824);0.0298(0.00400);;;;;;;;
FDA3;PPS;0.0843(0.01313);0.2590(0.06128);0.0436(0.01250);0.0419(0.00778);;;;;;;;
FDA3;CKPS;0.0383(0.00726);0.1222(0.03371);0.0189(0.00279);0.0179(0.00243);;;;;;;;
FDA3;SPPS;0.0363(0.00724);0.1323(0.03870);0.0137(0.00325);0.0133(0.00262);;;;;;;;
FDA3;HPPCM;0.0275(0.00479);0.0862(0.02561);0.0064(0.00038);0.0061(0.00035);;;;;;;;
FDA3;DSSP;0.0296(0.01232);0.1120(0.06379);0.0140(0.00310);0.0098 (0.00202);;;;;;;;
FDA3;DVC;0.0258(0.00647);0.1023(0.03297);0.0074(0.00060);0.0077(0.00067);;;;;;;;
FDA4;FPS;0.1421(0.00457);0.1627(0.01336);0.1388(0.00416);0.1356(0.00490);;;;;;;;
FDA4;PPS;0.1314(0.00333);0.1609(0.00920);0.1258(0.00312);0.1230(0.00312);;;;;;;;
FDA4;CKPS;0.1184(0.00230);0.1332(0.00845);0.1148(0.00268);0.1149(0.00232);;;;;;;;
FDA4;SPPS;0.1095(0.00211);0.1300(0.00688);0.1050(0.00221);0.1043(0.00234);;;;;;;;
FDA4;HPPCM;0.1020(0.00104);0.1209(0.00692);0.0969(0.00198);0.0980(0.00245);;;;;;;;
FDA4;DSSP;0.1058 (0.00211);0.1208 (0.00504);0.1019 (0.00224);0.1026 (0.00414);;;;;;;;
FDA4;DVC;0.1011(0.00128);0.1161(0.00498);0.0976(0.00167);0.0973(0.00216);;;;;;;;
dMOP1;FPS;0.0080(0.00263);0.0235(0.01367);0.0043(0.00015);0.0043(0.00012);;;;;;;;
dMOP1;PPS;0.1296(0.24085);0.5522(1.06835);0.0528(0.09413);0.0057(0.00002);;;;;;;;
dMOP1;CKPS;0.0076(0.00174);0.0181(0.00901);0.0050(0.00005);0.0051(0.00006);;;;;;;;
dMOP1;SPPS;0.0099(0.00276);0.0310(0.01421);0.0050(0.00070);0.0048(0.00054);;;;;;;;
