"","Test Problem","Optimizer","MIGD","MHVD"
"1","FDA1","FPS","0.0525","0.0965"
"2","FDA1","PPS","0.0592","0.0975"
"3","FDA1","CKPS","0.0297","0.0465"
"4","FDA1","SPPS","0.0264","0.0435"
"5","FDA1","HPPCM","0.0211","0.0374"
"6","FDA1","DSSP","0.0240","0.0375"
"7","FDA1","DVC","0.0178","0.0359"
"8","FDA2","FPS","0.0086","0.0321"
"9","FDA2","PPS","0.0093","0.0320"
"10","FDA2","CKPS","0.0085","0.0319"
"11","FDA2","SPPS","0.0087","0.0322"
"12","FDA2","HPPCM","0.0079","0.0313"
"13","FDA2","DSSP","0.0080","0.0313"
"14","FDA2","DVC","0.0074","0.0311"
"15","FDA3","FPS","0.0638","0.7923"
"16","FDA3","PPS","0.0843","0.8259"
"17","FDA3","CKPS","0.0383","0.6657"
"18","FDA3","SPPS","0.0363","0.6621"
"19","FDA3","HPPCM","0.0275","0.6583"
"20","FDA3","DSSP","0.0296","0.6823"
"21","FDA3","DVC","0.0258","0.6547"
"22","FDA4","FPS","0.1421","0.4221"
"23","FDA4","PPS","0.1314","0.3799"
"24","FDA4","CKPS","0.1184","0.3294"
"25","FDA4","SPPS","0.1095","0.3024"
"26","FDA4","HPPCM","0.1020","0.2876"
"27","FDA4","DSSP","0.1058","0.2894"
"28","FDA4","DVC","0.1011","0.2739"
"29","dMOP1","FPS","0.0080","0.1499"
"30","dMOP1","PPS","0.1296","0.2199"
"31","dMOP1","CKPS","0.0076","0.1489"
"32","dMOP1","SPPS","0.0099","0.1460"
"33","dMOP1","HPPCM","0.0068","0.1506"
"34","dMOP1","DSSP","0.0076","1.1472"
"35","dMOP1","DVC","0.0064","0.1532"
"36","dMOP2","FPS","0.0617","0.2142"
"37","dMOP2","PPS","0.0659","0.2253"
"38","dMOP2","CKPS","0.0267","0.1644"
"39","dMOP2","SPPS","0.0316","0.1677"
"40","dMOP2","HPPCM","0.0252","0.1676"
"41","dMOP2","DSSP","0.0255","0.1657"
"42","dMOP2","DVC","0.0223","0.1639"
"43","dMOP3","FPS","0.0528","0.0958"
"44","dMOP3","PPS","0.0482","0.0869"
"45","dMOP3","CKPS","0.0277","0.0460"
"46","dMOP3","SPPS","0.0279","0.0431"
"47","dMOP3","HPPCM","0.0242","0.0343"
"48","dMOP3","DSSP","0.0240","0.0357"
"49","dMOP3","DVC","0.0288","0.0381"
"50","F5","FPS","0.3088","0.5501"
"51","F5","PPS","0.2816","0.5124"
"52","F5","CKPS","0.0322","0.2769"
"53","F5","SPPS","0.0319","0.2782"
"54","F5","HPPCM","0.0286","0.2889"
"55","F5","DSSP","0.0346","0.2750"
"56","F5","DVC","0.0269","0.2725"
"57","F6","FPS","0.0527","0.2997"
"58","F6","PPS","0.0525","0.3222"
"59","F6","CKPS","0.0210","0.2659"
"60","F6","SPPS","0.0219","0.2693"
"61","F6","HPPCM","0.0189","0.2725"
"62","F6","DSSP","0.0285","0.2792"
"63","F7","DVC","0.0182","0.2655"
"64","F7","FPS","0.1234","0.4390"
"65","F7","PPS","0.0923","0.3596"
"66","F7","CKPS","0.0227","0.2690"
"67","F7","SPPS","0.0212","0.2664"
"68","F7","HPPCM","0.0166","0.2672"
"69","F7","DSSP","0.0243","0.2718"
"70","F8","DVC","0.0180","0.2614"
"71","F8","FPS","0.1440","0.3810"
"72","F8","PPS","0.1511","0.3954"
"73","F8","CKPS","0.1560","0.4108"
"74","F8","SPPS","0.1456","0.3852"
"75","F8","HPPCM","0.1289","0.3223"
"76","F8","DSSP","0.1141","0.2946"
"77","F9","DVC","0.1335","0.3277"
"78","F9","FPS","0.4089","0.6661"
"79","F9","PPS","0.5884","0.6408"
"80","F9","CKPS","0.1476","0.3705"
"81","F9","SPPS","0.1019","0.3411"
"82","F9","HPPCM","0.0832","0.3353"
"83","F9","DSSP","0.0723","0.3165"
"84","F10","DVC","0.0644","0.3113"
"85","F10","FPS","0.4312","0.8915"
"86","F10","PPS","0.5359","0.7720"
"87","F10","CKPS","0.0860","0.3612"
"88","F10","SPPS","0.0729","0.3361"
"89","F10","HPPCM","0.0744","0.4034"
"90","F10","DSSP","0.1196","0.3745"
"91","F10","DVC","0.0931","0.3927"
