"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,1,"BIPOP-aCMA-STEP",2e-04,43.6,45,2.50142816349838,43.6,39,39,39,42,45,45,45,45,45,43.6,15,1
2,10,"BIPOP-aCMA-STEP",2e-04,481.466666666667,478,64.0634358235945,481.466666666667,391,391,420,434,478,502,530,530,655,481.466666666667,15,1
2,11,"BIPOP-aCMA-STEP",2e-04,465.2,478,53.9579201124093,465.2,380,380,400,429,478,483,500,500,612,465.2,15,1
2,12,"BIPOP-aCMA-STEP",2e-04,620.4,536,374.136300602563,620.4,326,326,434,452,536,564,793,793,1921,620.4,15,1
2,13,"BIPOP-aCMA-STEP",2e-04,456.6,442,54.5302013304816,456.6,362,362,393,418,442,500,532,532,551,456.6,15,1
2,14,"BIPOP-aCMA-STEP",2e-04,270.466666666667,259,64.5532633530158,270.466666666667,173,173,214,230,259,311,338,338,428,270.466666666667,15,1
2,15,"BIPOP-aCMA-STEP",2e-04,3692.06666666667,2299,3935.31475355197,3692.06666666667,314,314,347,1118,2299,3303,10621,10621,13555,3692.06666666667,15,1
2,2,"BIPOP-aCMA-STEP",2e-04,81.4,84,8.08702664766229,81.4,63,63,72,72,84,84,90,90,93,81.4,15,1
2,5,"BIPOP-aCMA-STEP",2e-04,6,6,0,6.4,6,6,6,6,6,6,6,6,6,6.85714285714286,14,0.933333333333333
2,6,"BIPOP-aCMA-STEP",2e-04,349.266666666667,346,65.4691494049642,349.266666666667,266,266,270,286,346,404,428,428,455,349.266666666667,15,1
2,7,"BIPOP-aCMA-STEP",2e-04,265.466666666667,258,135.047011214966,265.466666666667,88,88,108,142,258,345,393,393,572,265.466666666667,15,1
2,8,"BIPOP-aCMA-STEP",2e-04,486.466666666667,471,225.691909680516,486.466666666667,198,198,215,298,471,564,816,816,855,486.466666666667,15,1
2,9,"BIPOP-aCMA-STEP",2e-04,483.666666666667,424,214.420703513532,483.666666666667,202,202,207,307,424,643,809,809,818,483.666666666667,15,1
2,16,"BIPOP-aCMA-STEP",2e-04,962.333333333333,373,1001.71771520343,962.333333333333,198,198,240,280,373,1352,2818,2818,3395,962.333333333333,15,1
2,17,"BIPOP-aCMA-STEP",2e-04,797.8,498,425.127745507159,797.8,339,339,352,415,498,1202,1334,1334,1355,797.8,15,1
2,18,"BIPOP-aCMA-STEP",2e-04,1926.53333333333,1371,1661.75410191704,1926.53333333333,478,478,586,1288,1371,1500,2889,2889,7396,1926.53333333333,15,1
2,19,"BIPOP-aCMA-STEP",2e-04,7726.66666666667,2572,11636.735217569,7726.66666666667,476,476,1193,1569,2572,8178,16243,16243,45545,7726.66666666667,15,1
2,20,"BIPOP-aCMA-STEP",2e-04,4322.33333333333,4161,2937.24474068244,4322.33333333333,469,469,910,1002,4161,6241,8362,8362,8480,4322.33333333333,15,1
2,21,"BIPOP-aCMA-STEP",2e-04,1828.6,727,2181.81830459956,1828.6,82,82,90,140,727,3548,4264,4264,7134,1828.6,15,1
2,22,"BIPOP-aCMA-STEP",2e-04,909.266666666667,319,1522.17858285263,909.266666666667,98,98,120,186,319,897,1512,1512,6206,909.266666666667,15,1
2,23,"BIPOP-aCMA-STEP",2e-04,5344.4,3510,7534.51781374988,5344.4,628,628,662,968,3510,4416,9448,9448,30993,5344.4,15,1
