"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,1,"FULLNEWUOA",2e-04,7,7,0,7,7,7,7,7,7,7,7,7,7,7.5,28,0.933333333333333
2,10,"FULLNEWUOA",2e-04,562.066666666667,593,179.229179685047,562.066666666667,299,299,308,425,593,725,762,762,815,562.066666666667,30,1
2,11,"FULLNEWUOA",2e-04,567.4,546,242.795727963326,567.4,226,226,247,355,546,745,891,891,1027,567.4,30,1
2,12,"FULLNEWUOA",2e-04,400.071428571429,46,577.17568598025,519.933333333333,12,12,13,26,41,968,1142,1785,1785,557.071428571429,28,0.933333333333333
2,13,"FULLNEWUOA",2e-04,7139.5,7299,4487.56417967105,11566.5333333333,1073,1073,1073,2641,7093,10393,12545,13071,13071,21687.25,16,0.533333333333333
2,14,"FULLNEWUOA",2e-04,55.7333333333333,59,20.6329721618066,55.7333333333333,28,28,31,35,59,70,78,78,97,55.7333333333333,30,1
2,15,"FULLNEWUOA",2e-04,2937.78571428571,3029.5,1836.16109914424,3412.33333333333,457,457,540,1554,2879,3368,5936,7034,7034,3656.07142857143,28,0.933333333333333
2,16,"FULLNEWUOA",2e-04,1953.07142857143,578.5,2699.39873865729,2722.86666666667,29,29,36,167,450,3376,6991,7374,7374,2917.35714285714,28,0.933333333333333
2,17,"FULLNEWUOA",2e-04,4944.5,5081.5,4135.46684184507,9864.8,265,265,265,265,2039,8124,9350,9350,9350,36993,8,0.266666666666667
2,18,"FULLNEWUOA",2e-04,NA,NA,NA,13338,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,19,"FULLNEWUOA",2e-04,2142.84615384615,1616,2190.99268264059,3283,43,43,270,340,1616,2449,4387,8392,8392,3788.07692307692,26,0.866666666666667
2,2,"FULLNEWUOA",2e-04,401.133333333333,301,226.820867089266,401.133333333333,98,98,210,246,301,458,722,722,985,401.133333333333,30,1
2,20,"FULLNEWUOA",2e-04,2273.71428571429,1590,2323.54414565882,2832.13333333333,136,136,226,706,1474,3239,3747,9375,9375,3034.42857142857,28,0.933333333333333
2,21,"FULLNEWUOA",2e-04,534.066666666667,453,511.625464663316,534.066666666667,23,23,81,194,453,532,971,971,2134,534.066666666667,30,1
2,22,"FULLNEWUOA",2e-04,297.8,266,271.487651335353,297.8,10,10,30,105,266,347,683,683,1083,297.8,30,1
2,23,"FULLNEWUOA",2e-04,4298,2586.5,4860.98164422111,10317.8,563,563,563,1035,2502,4755,14262,14262,14262,25794.5,12,0.4
2,24,"FULLNEWUOA",2e-04,3955.2,2049,3992.55075247781,8575.73333333333,250,250,250,250,2049,7361,9549,9549,9549,25727.2,10,0.333333333333333
2,3,"FULLNEWUOA",2e-04,971.333333333333,780,706.021067055677,971.333333333333,145,145,235,249,780,1351,1977,1977,2597,971.333333333333,30,1
2,4,"FULLNEWUOA",2e-04,4313,4139.5,3032.34740466997,5615,273,273,273,1750,3491,6264,7580,10299,10299,7018.75,24,0.8
2,5,"FULLNEWUOA",2e-04,6,6,0,6,6,6,6,6,6,6,6,6,6,6.42857142857143,28,0.933333333333333
2,6,"FULLNEWUOA",2e-04,281.2,299,127.290165397396,281.2,69,69,118,150,299,307,483,483,528,281.2,30,1
2,7,"FULLNEWUOA",2e-04,637.333333333333,323,681.640381136125,637.333333333333,17,17,121,199,323,718,1547,1547,2650,637.333333333333,30,1
2,8,"FULLNEWUOA",2e-04,141.8,152,45.4027190435961,141.8,77,77,80,89,152,185,194,194,198,141.8,30,1
2,9,"FULLNEWUOA",2e-04,89.1333333333333,80,47.399791454025,89.1333333333333,38,38,38,43,80,98,185,185,192,89.1333333333333,30,1
2,1,"BFGS",2e-04,7,7,0,7.26666666666667,7,7,7,7,7,7,7,7,7,8.38461538461539,26,0.866666666666667
2,10,"BFGS",2e-04,185.8,103,230.026745071689,185.8,76,76,85,91,103,112,598,598,892,185.8,30,1
2,11,"BFGS",2e-04,181.4,115,113.846720910481,181.4,82,82,100,103,115,214,304,304,496,181.4,30,1
2,12,"BFGS",2e-04,322,196,274.746779969208,322,40,40,55,79,196,478,778,778,817,322,30,1
2,13,"BFGS",2e-04,8543.2,8647,1660.10192458174,11659.7333333333,6268,6268,6268,6268,8647,10075,10390,10390,10390,34979.2,10,0.333333333333333
2,14,"BFGS",2e-04,57.8,49,18.4248707476868,57.8,31,31,34,46,49,76,82,82,88,57.8,30,1
2,15,"BFGS",2e-04,2027.71428571429,1426,1843.02791950852,4043.86666666667,157,157,157,379,1426,2920,5059,5059,5059,8665.42857142857,14,0.466666666666667
2,16,"BFGS",2e-04,NA,NA,NA,13692,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,17,"BFGS",2e-04,NA,NA,NA,4467,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,18,"BFGS",2e-04,NA,NA,NA,5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,19,"BFGS",2e-04,3887.09090909091,3619,3284.94782025806,6256.93333333333,577,577,577,1339,3619,4447,5728,12691,12691,8532.18181818182,22,0.733333333333333
2,2,"BFGS",2e-04,109.6,109,22.3723967855712,109.6,76,76,79,94,109,115,142,142,154,109.6,30,1
2,20,"BFGS",2e-04,989.6,523,981.52287025193,989.6,94,94,142,184,523,1408,1954,1954,3670,989.6,30,1
2,21,"BFGS",2e-04,552.6,523,458.471794341698,552.6,43,43,70,199,523,673,1135,1135,1855,552.6,30,1
2,22,"BFGS",2e-04,283.2,148,351.754655876841,283.2,40,40,82,115,148,199,565,565,1459,283.2,30,1
2,23,"BFGS",2e-04,6376,6376,0,10040.2666666667,6376,6376,6376,6376,6376,6376,6376,6376,6376,150604,2,0.0666666666666667
2,24,"BFGS",2e-04,NA,NA,NA,5628,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"BFGS",2e-04,2006.2,1706.5,1553.06954465224,3210.46666666667,205,205,205,637,1531,2677,3544,5482,5482,4815.7,20,0.666666666666667
2,4,"BFGS",2e-04,2681.8,2665,1505.13113959164,3788.86666666667,529,529,529,1678,2188,3439,4762,5029,5029,5683.3,20,0.666666666666667
2,5,"BFGS",2e-04,12.5384615384615,13,1.63047892916822,12.8666666666667,7,7,13,13,13,13,13,13,13,14.8461538461538,26,0.866666666666667
2,6,"BFGS",2e-04,150,151,37.0981921671254,150,97,97,97,115,151,178,202,202,208,150,30,1
2,7,"BFGS",2e-04,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,8,"BFGS",2e-04,115,127,37.914604592153,115,52,52,58,79,127,142,163,163,166,115,30,1
2,9,"BFGS",2e-04,96.4,97,32.083511717671,96.4,43,43,55,70,97,115,136,136,163,96.4,30,1
2,1,"NELDERDOERR",2e-04,34.4666666666667,34,3.31904985711619,34.4666666666667,29,29,30,32,34,36,39,39,41,34.4666666666667,30,1
2,10,"NELDERDOERR",2e-04,73.7333333333333,70,9.0627442495821,73.7333333333333,65,65,66,66,70,78,87,87,95,73.7333333333333,30,1
2,11,"NELDERDOERR",2e-04,72.9333333333333,69,12.2303560535007,72.9333333333333,60,60,61,65,69,74,99,99,100,72.9333333333333,30,1
2,12,"NELDERDOERR",2e-04,188.533333333333,101,192.326183655633,188.533333333333,63,63,66,76,101,182,370,370,806,188.533333333333,30,1
2,13,"NELDERDOERR",2e-04,82.4666666666667,77,13.8955049376143,82.4666666666667,65,65,68,75,77,86,111,111,114,82.4666666666667,30,1
2,14,"NELDERDOERR",2e-04,49.5333333333333,51,5.87063606571656,49.5333333333333,36,36,43,45,51,55,55,55,57,49.5333333333333,30,1
2,15,"NELDERDOERR",2e-04,1428.86666666667,1416,1049.63230781507,1428.86666666667,56,56,315,533,1416,1720,3240,3240,3566,1428.86666666667,30,1
2,16,"NELDERDOERR",2e-04,389,254,293.97607221419,389,54,54,58,65,254,651,785,785,908,389,30,1
2,17,"NELDERDOERR",2e-04,3280.35714285714,3829,2047.53215891691,4880.66666666667,168,168,853,1185,3757,4344,6246,7011,7011,5229.28571428571,28,0.933333333333333
2,18,"NELDERDOERR",2e-04,10409.1666666667,7107,8890.69792177374,14627.5333333333,479,479,479,3772,6523,12444,22466,29633,29633,18284.4166666667,24,0.8
2,19,"NELDERDOERR",2e-04,1771.93333333333,916,1829.76450215139,1771.93333333333,184,184,468,599,916,1488,5121,5121,6603,1771.93333333333,30,1
