"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,1,"BIPOP-aCMA-STEP",4400,15,4.29786748413333e-09,3.110908864e-09,2.37505475535621e-09,2.2374251784e-09,2.3341755195e-09,2.4130770272e-09,2.7124364975e-09,3.110908864e-09,5.4142574865e-09,7.6786347948e-09,8.4589042437e-09,9.30549770568e-09
2,10,"BIPOP-aCMA-STEP",4400,15,4.03143000461333e-09,3.607755872e-09,2.66851557674467e-09,7.50380024744e-10,9.6821750606e-10,1.2526314206e-09,1.5843681925e-09,3.607755872e-09,6.4168226285e-09,6.7157209568e-09,7.5217034376e-09,8.60547586944e-09
2,11,"BIPOP-aCMA-STEP",4400,15,3.30849836418667e-09,3.230269385e-09,2.49829595527735e-09,3.74340061188e-10,3.9748613292e-10,6.121794627e-10,1.147657969e-09,3.230269385e-09,4.247397101e-09,6.3660653638e-09,7.170602068e-09,8.2966878526e-09
2,12,"BIPOP-aCMA-STEP",4400,15,4.32064541189333e-09,4.630109629e-09,3.04555678557196e-09,2.74302180968e-10,3.6157743467e-10,4.4724544068e-10,1.7181776005e-09,4.630109629e-09,5.9649956085e-09,8.3909348802e-09,8.8065522874e-09,9.20050254676e-09
2,13,"BIPOP-aCMA-STEP",4400,15,6.47927690753333e-09,6.436600586e-09,2.21180337347891e-09,2.17196770784e-09,2.8617122891e-09,3.8499404552e-09,5.2426401e-09,6.436600586e-09,8.2210824815e-09,8.6584122982e-09,9.061812989e-09,9.6118037618e-09
2,14,"BIPOP-aCMA-STEP",4400,15,5.87910273055333e-09,6.704908628e-09,3.26642757156033e-09,8.6609674102e-10,9.2675520595e-10,1.38993954134e-09,2.878007166e-09,6.704908628e-09,8.7969302955e-09,9.4017394758e-09,9.4937895769e-09,9.55480913956e-09
2,15,"BIPOP-aCMA-STEP",4400,15,0.128079129712448,2.24855512e-09,0.288092910474346,1.285013695496e-10,2.25287521979e-10,3.3751916816e-10,8.8751050965e-10,2.24855512e-09,0.0323640692767654,0.46000910582,0.70241995752,0.877943417268
2,2,"BIPOP-aCMA-STEP",4400,15,3.29433949756667e-09,1.774751013e-09,3.04977462757322e-09,3.33799903244e-10,3.7862974976e-10,4.6278216814e-10,7.572218408e-10,1.774751013e-09,5.999192254e-09,7.4831518758e-09,8.1278443531e-09,8.54883069244e-09
2,5,"BIPOP-aCMA-STEP",4400,15,6.5133084142e-16,0,3.86370981319719e-15,-2.806643806396e-15,-1.68753899749e-15,-5.3290705182e-16,0,0,0,0,4.26325641599998e-15,1.02318153984e-14
2,6,"BIPOP-aCMA-STEP",4400,15,4.59873816058667e-09,4.039065971e-09,2.53101802445345e-09,6.36572394756e-10,8.3807094594e-10,1.3036753899e-09,3.0931914805e-09,4.039065971e-09,6.2264717825e-09,7.6340143094e-09,8.5476265175e-09,8.800966853e-09
2,7,"BIPOP-aCMA-STEP",4400,15,4.20344372645333e-09,2.966345392e-09,3.10609801015943e-09,2.28587850896e-10,4.0255940804e-10,7.298993408e-10,2.580492264e-09,2.966345392e-09,6.041280365e-09,8.7642419544e-09,9.1614751344e-09,9.66152100576e-09
2,8,"BIPOP-aCMA-STEP",4400,15,3.66052503865933e-09,3.421746442e-09,3.0316336382097e-09,1.484755784928e-10,2.56539323097e-10,4.3812633518e-10,9.0815888145e-10,3.421746442e-09,5.555236271e-09,7.5581610304e-09,8.339670643e-09,8.8971668788e-09
2,9,"BIPOP-aCMA-STEP",4400,15,7.86181217912e-09,4.194603775e-09,1.36232759009449e-08,6.41919228892e-10,6.5238658918e-10,8.4606099906e-10,1.4401067005e-09,4.194603775e-09,8.8719609435e-09,9.5263871456e-09,2.34841813554e-08,4.27909148481599e-08
2,16,"BIPOP-aCMA-STEP",4400,15,1.07817771045825e-07,4.40650183e-09,4.04344107957709e-07,9.176375214e-12,9.83142456e-12,3.8559022638e-11,1.30508937e-10,4.40650183e-09,6.489489834e-09,9.0356280678e-09,4.77774388846498e-07,1.1327392369386e-06
2,17,"BIPOP-aCMA-STEP",4400,15,5.9539924436e-09,5.968265882e-09,3.01730764985908e-09,1.25072432404e-09,1.3228618201e-09,1.8681419078e-09,3.387171432e-09,5.968265882e-09,8.706336985e-09,9.1595694584e-09,9.3873396169e-09,9.50600053816e-09
