"","Test Problem","Optimizer","MIGD_total","MIGD_1st_stage","MIGD_2nd_stage","MIGD_3rd_stage"
"1","FDA1","FPS","0.0525","0.2137","0.0147","0.0136"
"2","FDA1","PPS","0.0592","0.2743","0.0100","0.0063"
"3","FDA1","CKPS","0.0297","0.1168","0.0090","0.0089"
"4","FDA1","SPPS","0.0264","0.1032","0.0082","0.0081"
"5","FDA1","HPPCM","0.0211","0.0813","0.0068","0.0067"
"6","FDA1","DSSP","0.0240","0.0944","0.0072","0.0072"
"7","FDA1","DVC","0.0178","0.0681","0.0066","0.0070"
"8","FDA2","FPS","0.0086","0.0201","0.0060","0.0056"
"9","FDA2","PPS","0.0093","0.0219","0.0067","0.0059"
"10","FDA2","CKPS","0.0085","0.0183","0.0065","0.0060"
"11","FDA2","SPPS","0.0087","0.0170","0.0067","0.0068"
"12","FDA2","HPPCM","0.0079","0.0172","0.0058","0.0056"
"13","FDA2","DSSP","0.0080","0.0167","0.0061","0.0058"
"14","FDA2","DVC","0.0074","0.0160","0.0057","0.0052"
"15","FDA3","FPS","0.0638","0.1971","0.0344","0.0298"
"16","FDA3","PPS","0.0843","0.2590","0.0436","0.0419"
"17","FDA3","CKPS","0.0383","0.1222","0.0189","0.0179"
"18","FDA3","SPPS","0.0363","0.1323","0.0137","0.0133"
"19","FDA3","HPPCM","0.0275","0.0862","0.0064","0.0061"
"20","FDA3","DSSP","0.0296","0.1120","0.0140","0.0098"
"21","FDA3","DVC","0.0258","0.1023","0.0074","0.0077"
"22","FDA4","FPS","0.1421","0.1627","0.1388","0.1356"
"23","FDA4","PPS","0.1314","0.1609","0.1258","0.1230"
"24","FDA4","CKPS","0.1184","0.1332","0.1148","0.1149"
"25","FDA4","SPPS","0.1095","0.1300","0.1050","0.1043"
"26","FDA4","HPPCM","0.1020","0.1209","0.0969","0.0980"
"27","FDA4","DSSP","0.1058","0.1208","0.1019","0.1026"
"28","FDA4","DVC","0.1011","0.1161","0.0976","0.0973"
"29","dMOP1","FPS","0.0080","0.0235","0.0043","0.0043"
"30","dMOP1","PPS","0.1296","0.5522","0.0528","0.0057"
"31","dMOP1","CKPS","0.0076","0.0181","0.0050","0.0051"
"32","dMOP1","SPPS","0.0099","0.0310","0.0050","0.0048"
"33","dMOP1","HPPCM","0.0068","0.0161","0.0047","0.0046"
"34","dMOP1","DSSP","0.0076","0.0188","0.0050","0.0050"
"35","dMOP1","DVC","0.0064","0.0118","0.0051","0.0051"
"36","dMOP2","FPS","0.0617","0.2542","0.0168","0.0153"
"37","dMOP2","PPS","0.0659","0.3008","0.0142","0.0061"
"38","dMOP2","CKPS","0.0267","0.1006","0.0092","0.0090"
"39","dMOP2","SPPS","0.0316","0.1263","0.0093","0.0090"
"40","dMOP2","HPPCM","0.0252","0.1021","0.0069","0.0069"
"41","dMOP2","DSSP","0.0255","0.1035","0.0071","0.0068"
"42","dMOP2","DVC","0.0223","0.0848","0.0075","0.0073"
"43","dMOP3","FPS","0.0528","0.2161","0.0146","0.0133"
"44","dMOP3","PPS","0.0482","0.2173","0.0099","0.0062"
"45","dMOP3","CKPS","0.0277","0.1065","0.0091","0.0089"
"46","dMOP3","SPPS","0.0279","0.1111","0.0082","0.0081"
"47","dMOP3","HPPCM","0.0242","0.0958","0.0078","0.0066"
"48","dMOP3","DSSP","0.0240","0.0951","0.0073","0.0071"
"49","dMOP3","DVC","0.0288","0.1204","0.0071","0.0069"
"50","F5","FPS","0.3088","1.0718","0.1916","0.0636"
"51","F5","PPS","0.2816","1.2651","0.0790","0.0170"
"52","F5","CKPS","0.0322","0.0925","0.0181","0.0178"
"53","F5","SPPS","0.0319","0.0866","0.0198","0.0182"
"54","F5","HPPCM","0.0286","0.0751","0.0164","0.0187"
"55","F5","DSSP","0.0346","0.1081","0.0154","0.0163"
"56","F5","DVC","0.0269","0.0653","0.0232","0.0185"
"57","F6","FPS","0.0527","0.1247","0.0380","0.0331"
"58","F6","PPS","0.0525","0.1989","0.0216","0.0138"
"59","F6","CKPS","0.0210","0.0468","0.0148","0.0149"
"60","F6","SPPS","0.0219","0.0514","0.0148","0.0150"
"61","F6","HPPCM","0.0189","0.0572","0.0098","0.0099"
"62","F6","DSSP","0.0285","0.0864","0.0144","0.0133"
"63","F6","DVC","0.0182","0.0450","0.0138","0.0144"
